SECTOR|CIE10|NUMERODECASOS
LUIS VERNAZA|E86 | 2
XIMENA|R072 | 2
XIMENA|R074 | 5
ORQUIDEAS|L031 | 1
JARDINES DEL SALADO|R10 | 2
BOLIVAR SAGRARIO|L02 | 1
DURAN|G443 | 1
GUAYACANES|J039 | 1
NOT_FOUND|A689 | 25
NOT_FOUND|T202 | 1
ROCAFUERTE|J02 | 1
NOT_FOUND|B82 | 2
SAUCES|K12 | 1
CHONGON|A09 | 6
CONDOR|J20 | 5
FEBRES CORDERO|N511 | 1
GARCIA MORENO|J969 | 1
FEBRES CORDERO|J21 | 38
FEBRES CORDERO|J20 | 347
FEBRES CORDERO|J22 | 8
GARCIA MORENO|J960 | 1
FLORIDA|K29 | 2
NOT_FOUND|S098 | 2
NOT_FOUND|S099 | 8
FLOR DE BASTION|J18 | 3
PASCUALES|H920 | 1
XIMENA|X85 | 1
CARBO|J180 | 2
MAPASINGUE|S01 | 1
AYACUCHO|J39 | 1
BASTION POPULAR|J46 | 1
XIMENA|B829 | 1
BASTION POPULAR|J45 | 1
GARCIA MORENO|S40 | 2
LUIS VERNAZA|A09 | 4
ROSALES|R11 | 2
SAUCES|J20 | 43
SAUCES|J21 | 8
CONDOR|K050 | 1
OLMEDO|R101 | 2
SERGIO TORAL|R11 | 3
XIMENA|T00 | 3
SAN EDUARDO|J20 | 3
XIMENA|T07 | 2
MUCHO LOTE I|J02 | 3
XIMENA|S670 | 1
VOLUNTAD DE DIOS|E86 | 3
XIMENA|T09 | 2
XIMENA|R102 | 1
AYACUCHO|S900 | 1
XIMENA|T600 | 1
MUCHO LOTE I|J03 | 10
XIMENA|R101 | 19
MUCHO LOTE I|J01 | 1
MUCHO LOTE I|J00 | 2
LETAMENDI|P599 | 1
LETAMENDI|W57 | 1
FLORIDA|J45 | 1
VERGELES|J00 | 1
FEBRES CORDERO|B01 | 1
ROSALES|A09 | 5
NOT_FOUND|I11 | 1
NOT_FOUND|I10 | 22
ORQUIDEAS|J96 | 1
FEBRES CORDERO|J159 | 2
MUCHO LOTE I|N30 | 2
LETAMENDI|S53 | 1
ALBORADA|A09 | 21
SAN EDUARDO|R220 | 1
OTROS|N30 | 1
FEBRES CORDERO|J029 | 6
URDANETA|R040 | 2
URDANETA|M545 | 1
LETAMENDI|H612 | 1
GARCIA MORENO|S80 | 1
LETAMENDI|I10 | 3
ALBORADA|M238 | 1
DAULE|S83 | 1
URDANETA|S01 | 2
URDANETA|S00 | 1
SAUCES|S60 | 1
GARCIA MORENO|S400 | 1
PROSPERINA|J21 | 1
PROSPERINA|J20 | 15
URDESA|J46 | 1
URDANETA|T301 | 1
XIMENA|N939 | 1
FLOR DE BASTION|R501 | 2
MIRAFLORES|S211 | 1
SAUCES|L50 | 4
FEBRES CORDERO|M773 | 1
NOT_FOUND|S000 | 3
LETAMENDI|I471 | 1
MONTE SINAI|N390 | 1
ROCAFUERTE|K12 | 1
XIMENA|M919 | 1
PUERTO SANTA ANA|B302 | 1
NOT_FOUND|S311 | 1
FLORIDA|A689 | 1
NOT_FOUND|S312 | 1
NOT_FOUND|N200 | 1
POSORJA|J20 | 1
ALBORADA|E86 | 10
NOT_FOUND|K140 | 1
MUCHO LOTE I|W57 | 1
SUCRE|J042 | 1
SAMBORONDON|J180 | 1
DAULE|J040 | 1
PROSPERINA|N47 | 1
DURAN|R50 | 1
GARCIA MORENO|S519 | 1
FEBRES CORDERO|S823 | 1
DURAN|R53 | 1
SERGIO TORAL|M544 | 1
MAPASINGUE|Y140 | 1
FEBRES CORDERO|N200 | 1
CHONGON|S10 | 1
LETAMENDI|R42 | 2
PUERTO SANTA ANA|J18 | 1
NOT_FOUND|S400 | 1
NOT_FOUND|N110 | 1
NOT_FOUND|J303 | 1
NOT_FOUND|J304 | 4
LETAMENDI|H028 | 1
NOT_FOUND|J96 | 31
GARCIA MORENO|J45 | 7
SAMBORONDON|A09 | 7
NOT_FOUND|J98 | 15
FEBRES CORDERO|K050 | 1
NOT_FOUND|S40 | 2
XIMENA|H92 | 9
ALBORADA|I11 | 1
CHONGON|R50 | 2
URDANETA|J22 | 1
LETAMENDI|A09 | 169
DURAN|J180 | 8
NOT_FOUND|R040 | 5
FLORIDA|R501 | 1
SUCRE|A689 | 1
FEBRES CORDERO|S609 | 1
FLORIDA|R509 | 1
URDANETA|L303 | 1
DAULE|R509 | 1
KENNEDY|A689 | 1
BASTION POPULAR|M624 | 1
GARCIA MORENO|S600 | 1
SAMBORONDON|R10 | 1
SANTA CECILIA|E86 | 2
NOT_FOUND|J050 | 6
JUAN MONTALVO|J00 | 3
JUAN MONTALVO|J03 | 6
JUAN MONTALVO|J02 | 2
GARCIA MORENO|J209 | 2
NOT_FOUND|R590 | 1
XIMENA|J303 | 2
XIMENA|J301 | 1
ROCAFUERTE|N200 | 1
XIMENA|J304 | 4
GARCIA MORENO|I10 | 1
PUERTO SANTA ANA|K529 | 1
PROSPERINA|R42 | 1
NOT_FOUND|N30 | 6
CIUDAD DEL RIO|N390 | 1
XIMENA|Y919 | 2
NOT_FOUND|N39 | 4
PASCUALES|J45 | 1
XIMENA|S69 | 1
DURAN|S611 | 1
MAPASINGUE|L500 | 1
XIMENA|S61 | 4
XIMENA|S60 | 3
URDANETA|K12 | 3
NOT_FOUND|J219 | 1
FLORIDA|S902 | 1
XIMENA|S069 | 1
XIMENA|R040 | 6
XIMENA|R590 | 2
ALBORADA|J20 | 9
BOLIVARIANA|S01 | 1
ALBORADA|J21 | 1
FEBRES CORDERO|K120 | 1
METROPOLIS|R55 | 1
NOT_FOUND|H101 | 1
NOT_FOUND|J210 | 1
ALBORADA|R101 | 1
CHONGON|J459 | 1
NOT_FOUND|T212 | 1
SERGIO TORAL|E86 | 1
BASTION POPULAR|J451 | 1
XIMENA|S408 | 2
XIMENA|S409 | 2
NOT_FOUND|I959 | 1
BASTION POPULAR|H10 | 1
XIMENA|S400 | 6
FLORIDA|S018 | 1
NOT_FOUND|I950 | 1
NOT_FOUND|E86 | 400
MONTE SINAI|L538 | 1
FORTIN|J209 | 1
DURAN|T170 | 1
TARQUI|J20 | 9
URDANETA|J020 | 1
FLOR DE BASTION|J21 | 4
FLOR DE BASTION|J20 | 26
DAULE|N512 | 1
OLMEDO|S610 | 1
CONDOR|A09 | 1
SAMANES|J042 | 1
MAPASINGUE|B019 | 1
XIMENA|T11 | 1
XIMENA|T13 | 1
LETAMENDI|R30 | 1
XIMENA|T15 | 1
XIMENA|T16 | 3
TARQUI|S390 | 1
BELLAVISTA|J029 | 1
LETAMENDI|M544 | 1
LETAMENDI|M542 | 1
SUCRE|S610 | 1
DURAN|S902 | 1
NAVAL NORTE|M54 | 1
FLORIDA|J30 | 1
FEBRES CORDERO|A050 | 1
URDANETA|S06 | 1
XIMENA|L303 | 2
BRISAS DEL NORTE|N390 | 1
LETAMENDI|J96 | 7
LETAMENDI|J98 | 4
XIMENA|M255 | 4
ATARAZANA|S809 | 1
ALBORADA|O912 | 1
NOT_FOUND|R55 | 1
DURAN|J45 | 6
SUCRE|R101 | 1
CHONGON|A689 | 1
PROSPERINA|H920 | 1
BASTION POPULAR|A09 | 18
TARQUI|R51 | 1
ALBORADA|S698 | 1
FEBRES CORDERO|K297 | 5
MUCHO LOTE II|R509 | 1
FEBRES CORDERO|K291 | 1
MIRAFLORES|R10 | 1
MAPASINGUE|N39 | 2
SUCRE|J459 | 1
FEBRES CORDERO|J050 | 4
ATARAZANA|J180 | 3
SAMANES|R509 | 1
KENNEDY|J20 | 1
DAULE|S90 | 1
CIUDAD DEL RIO|J20 | 1
PROSPERINA|J180 | 1
FEBRES CORDERO|Y09 | 1
FLORIDA|K590 | 1
VERGELES|S010 | 1
EL PARAISO|A09 | 2
LAS PEÑAS|E86 | 6
MAPASINGUE|J039 | 1
SAMANES|J03 | 1
SAMANES|J02 | 2
AYACUCHO|A09  | 1
FERROVIARIA|A08 | 1
FERROVIARIA|A09 | 5
NOT_FOUND|K52 | 5
DURAN|R501 | 1
SAN EDUARDO|J180 | 3
NOT_FOUND|K59 | 2
URDANETA|S610 | 1
DURAN|R509 | 1
CONDOR|R11 | 1
GARCIA MORENO|S501 | 1
SAUCES|B370 | 1
FERROVIARIA|E86 | 4
PUERTO SANTA ANA|L500 | 2
ROSALES|H669 | 1
DURAN|K590 | 2
FEBRES CORDERO|L50 | 21
ALBORADA|J45 | 3
AYACUCHO|R10 | 7
AYACUCHO|R11 | 2
PROSPERINA|S00 | 4
SALITRE|R10 | 1
NUEVA PROSPERINA|L50 | 2
MAPASINGUE|L50 | 2
INMACONSA|A09 | 1
GARCIA MORENO|E86 | 38
PUERTO SANTA ANA|J20 | 4
DAULE|H60 | 1
DAULE|H65 | 1
OTRO|J459 | 1
ALBORADA|S400 | 2
AYACUCHO|J459 | 1
LETAMENDI|J459 | 3
FLOR DE BASTION|R10 | 3
DAULE|J45 | 1
NOT_FOUND|J20  | 3
URDANETA|B01 | 1
FEBRES CORDERO|S619 | 1
FEBRES CORDERO|S610 | 4
FEBRES CORDERO|S611 | 2
NOT_FOUND|S500 | 1
NOT_FOUND|S501 | 3
NOT_FOUND|W57 | 1
NOT_FOUND|J202 | 1
NOT_FOUND|W54 | 4
NOT_FOUND|P22 | 1
DAULE|A880 | 1
NOT_FOUND|J209 | 10
AYACUCHO|R074 | 1
FEBRES CORDERO|S00 | 13
FEBRES CORDERO|S01 | 25
ORQUIDEAS|H60 | 1
AYACUCHO|R072 | 1
NOT_FOUND|J060 | 2
BELLAVISTA|J03 | 5
FEBRES CORDERO|S09 | 2
CHONGON|J02 | 1
JUAN MONTALVO|J18 | 3
AYACUCHO|J039 | 1
SAMBORONDON|E86 | 4
BELLAVISTA|J00 | 2
BELLAVISTA|A09 | 11
VERGELES|J45 | 1
XIMENA|K30 | 7
NOT_FOUND|S618 | 1
NOT_FOUND|N45 | 1
NOT_FOUND|S610 | 3
NOT_FOUND|S611 | 5
NOT_FOUND|S617 | 1
DURAN|L010 | 1
ADACE|J21 | 1
ADACE|J20 | 2
ALBORADA|O210 | 1
FEBRES CORDERO|I10 | 2
LOS CEIBOS|J180 | 1
XIMENA|S19 | 1
LOS CEIBOS|J45 | 1
LETAMENDI|R101 | 1
LETAMENDI|R104 | 1
XIMENA|J209 | 4
XIMENA|B029 | 1
XIMENA|J202 | 1
FEBRES CORDERO|T242 | 1
XIMENA|J05 | 9
TARQUI|A09 | 4
XIMENA|J20  | 1
XIMENA|J00 | 107
XIMENA|J01 | 5
XIMENA|J02 | 101
XIMENA|J03 | 336
FEBRES CORDERO|J03 | 123
FEBRES CORDERO|J02 | 39
XIMENA|S501 | 1
NOT_FOUND|L209 | 1
FEBRES CORDERO|J05 | 2
FEBRES CORDERO|J04 | 1
SAMANES|J450 | 1
XIMENA|S508 | 1
SAUCES|H920 | 2
PROSPERINA|K12 | 1
SAUCES|K30 | 1
NOT_FOUND|T222 | 1
TARQUI|R10 | 1
XIMENA|R21 | 1
XIMENA|T887 | 1
GARCIA MORENO|R11 | 14
GARCIA MORENO|R10 | 16
FERROVIARIA|N23 | 1
AYACUCHO|S610 | 2
AYACUCHO|S611 | 1
TARQUI|N390 | 1
URDANETA|J038 | 1
VERGELES|M54 | 1
LETAMENDI|K52 | 2
URDANETA|L50 | 6
GARCIA MORENO|A09 | 59
GARCIA MORENO|L032 | 1
GARCIA MORENO|A06 | 2
GARCIA MORENO|A05 | 1
URDANETA|S998 | 1
AYACUCHO|B02 | 1
ALBORADA|J042 | 1
BASTION POPULAR|J20 | 15
BASTION POPULAR|J21 | 2
ALBORADA|T91 | 1
FLORIDA|J180 | 9
GARCIA MORENO|S63 | 1
NOT_FOUND|T45 | 1
CHONGON|S300 | 1
BELLAVISTA|R11 | 1
XIMENA|E785 | 1
SAUCES|J00 | 10
SAN EDUARDO|J03 | 2
SAN EDUARDO|J02 | 1
XIMENA|T25 | 1
XIMENA|M796 | 1
PUERTO SANTA ANA|R10 | 1
XIMENA|T23 | 1
AYACUCHO|J18 | 2
GUAYACANES|J969 | 1
URDANETA|S424 | 1
MUCHO LOTE I|J21 | 5
MUCHO LOTE I|J20 | 11
FLORIDA|J20 | 38
FLORIDA|J21 | 5
FLORIDA|J22 | 1
XIMENA|I959 | 2
ORQUIDEAS|R509 | 2
SUCRE|L03 | 1
OTROS|L30 | 1
ALAMOS|J98 | 1
FERROVIARIA|L500 | 1
KENNEDY|R10 | 1
GARZOTA|J03 | 1
XIMENA|R638 | 1
VERGELES|A09 | 6
URDENOR|E86 | 1
JUAN MONTALVO|N39 | 1
URDANETA|S518 | 1
ATARAZANA|J45 | 2
ATARAZANA|J46 | 1
BELLAVISTA|E86 | 7
SAUCES|S600 | 1
FEBRES CORDERO|J042 | 9
XIMENA|A37 | 2
LIMONAL|S01 | 1
SAUCES|S01 | 3
FEBRES CORDERO|H10 | 2
URDESA|J20 | 3
XIMENA|A689 | 36
URDANETA|J039 | 1
URDENOR|A09 | 1
SAMBORONDON|S800 | 1
LA FLORIDA|J20 | 1
ORQUIDEAS|R51 | 1
ORQUIDEAS|S911 | 1
XIMENA|X490 | 1
SALITRE|A09 | 4
CHONGON|K590 | 2
AYACUCHO|M255 | 1
NOT_FOUND|K40 | 1
URDANETA|R501 | 5
NOT_FOUND|Y910 | 1
URDANETA|S601 | 1
URDANETA|S010 | 3
CARBO|R501 | 1
URDANETA|R11 | 9
URDANETA|R10 | 14
FEBRES CORDERO|S531 | 1
NOT_FOUND|A490 | 3
XIMENA|K810 | 1
ROCAFUERTE|H65 | 1
NOT_FOUND|S900 | 4
XIMENA|T782 | 2
FEBRES CORDERO|R220 | 1
ROCAFUERTE|J03 | 3
ROCAFUERTE|J00 | 2
XIMENA|T311 | 1
NOT_FOUND|S424 | 1
NOT_FOUND|S420 | 5
DURAN|N390 | 3
NOT_FOUND|N179 | 1
DURAN|R400 | 1
FLORIDA|H612 | 1
NOT_FOUND|K528 | 2
NOT_FOUND|K529 | 10
SAMBORONDON|B082 | 1
FLOR DE BASTION|R500 | 1
GARCIA MORENO|J20 | 48
GARCIA MORENO|J21 | 3
VERGELES|R51 | 2
AYACUCHO|S202 | 1
CIUDAD DEL RIO|H669 | 1
NOT_FOUND|S20 | 1
URDANETA|J98 | 3
BOLIVARIANA|R391 | 1
GARCIA MORENO|B829 | 1
PLAYAS|J20 | 2
SAMBORONDON|T23 | 1
FLORIDA|E86 | 21
XIMENA|K567 | 1
FLORIDA|R072 | 1
NOT_FOUND|S518 | 2
URDESA|R101 | 1
ROSALES|J00 | 1
NUEVA PROSPERINA|E86 | 4
SAMBORONDON|N390 | 2
IETEL|N390 | 2
NOT_FOUND|Z000 | 1
AYACUCHO|J209 | 2
OTROS|N390 | 1
XIMENA|J969 | 18
XIMENA|J960 | 12
FEBRES CORDERO|S11 | 1
FEBRES CORDERO|H66 | 1
FEBRES CORDERO|H65 | 3
SAN FELIPE|M544 | 1
NOT_FOUND|R58 | 1
FEBRES CORDERO|H60 | 5
NOT_FOUND|R56 | 1
MUCHO LOTE II|A09 | 5
NOT_FOUND|R53 | 5
NOT_FOUND|R50 | 8
NOT_FOUND|R51 | 14
9 DE OCTUBRE|H65 | 1
AYACUCHO|J020 | 2
NOT_FOUND|T232 | 2
SERGIO TORAL|J03 | 1
SERGIO TORAL|J02 | 1
SERGIO TORAL|J00 | 1
CHONGON|N390 | 3
JUAN MONTALVO|J20 | 14
XIMENA|K29 | 17
SALITRE|R11 | 1
MUCHO LOTE II|E86 | 1
XIMENA|K21 | 1
NOT_FOUND|J459 | 17
NOT_FOUND|J458 | 1
NOT_FOUND|N50 | 1
NOT_FOUND|S602 | 1
NOT_FOUND|S600 | 6
NOT_FOUND|J451 | 1
XIMENA|L50 | 82
FLOR DE BASTION|J969 | 1
JARDINES DEL SALADO|J45 | 2
ATARAZANA|R53 | 1
XIMENA|S09 | 2
XIMENA|S01 | 54
XIMENA|S00 | 39
NOT_FOUND|T181 | 1
XIMENA|J219 | 2
NOT_FOUND|T183 | 1
NOT_FOUND|T184 | 1
DAULE|A09 | 29
DAULE|A08 | 1
NOT_FOUND|T189 | 1
MAPASINGUE|T171 | 1
XIMENA|J18 | 43
XIMENA|S510 | 3
ROCAFUERTE|S01 | 2
SAUCES|H660 | 1
XIMENA|S518 | 1
SAUCES|H669 | 1
XIMENA|E86} | 1
NOT_FOUND|A01  | 1
DAULE|B49 | 1
SAUCES|K29 | 1
NOT_FOUND|P229 | 2
SAUCES|T000 | 1
XIMENA|S198 | 1
XIMENA|R34 | 1
ROCAFUERTE|N390 | 2
URDANETA|J00 | 13
URDANETA|J01 | 1
URDANETA|J02 | 8
URDANETA|J03 | 24
NOT_FOUND|A08 | 5
NOT_FOUND|A09 | 653
AYACUCHO|L50 | 4
NOT_FOUND|A06 | 1
9 DE OCTUBRE|J03 | 2
GARCIA MORENO|L029 | 1
TARQUI|J03 | 1
SAUCES|H001 | 1
LETAMENDI|A08 | 1
GARCIA MORENO|L020 | 3
FLORIDA|T090 | 1
GARCIA MORENO|L024 | 1
NOT_FOUND|S997 | 1
JUAN MONTALVO|M544 | 1
DURAN|H650 | 1
NOT_FOUND|L500 | 10
NOT_FOUND|L509 | 2
NOT_FOUND|L508 | 2
NOT_FOUND|S999 | 1
NOT_FOUND|S998 | 1
DAULE|S600 | 1
GARCIA MORENO|J029 | 1
FORTIN|R10 | 2
SAUCES|J18 | 4
XIMENA|S999 | 1
BELLAVISTA|J180 | 1
GUAYACANES|J96 | 1
URDANETA|M626 | 1
MUCHO LOTE II|I10 | 1
GUAYACANES|J98 | 1
NOT_FOUND|K12 | 13
FLORIDA|J18 | 2
LETAMENDI|R55 | 1
ROSALES|J20 | 2
FERROVIARIA|T189 | 1
LETAMENDI|R51 | 6
LETAMENDI|R50 | 2
VOLUNTAD DE DIOS|J180 | 1
XIMENA|B33 | 1
KENNEDY|K35 | 1
BELLAVISTA|J20 | 6
XIMENA|B36 | 1
NOT_FOUND|R049 | 1
BASTION POPULAR|E86 | 13
FEBRES CORDERO|J459 | 14
BOLIVAR SAGRARIO|J180 | 2
OLMEDO|H920 | 1
FEBRES CORDERO|J450 | 1
GUAYACANES|J03 | 5
SAUCES|R509 | 5
CHONGON|M436 | 1
SAUCES|R501 | 3
URDESA|R11 | 2
URDESA|R10 | 1
LETAMENDI|K810 | 1
KENNEDY|S009 | 1
DAULE|N390 | 1
FERROVIARIA|K29 | 1
LETAMENDI|H660 | 1
LETAMENDI|T18 | 1
NOT_FOUND|H10 | 8
KENNEDY|J03 | 1
PROSPERINA|A09 | 27
FORTIN|N390 | 1
PROSPERINA|J98 | 1
NOT_FOUND|N760 | 1
NOT_FOUND|K30 | 4
MUCHO LOTE I|S01 | 2
BASTION POPULAR|J960 | 1
BELLAVISTA|S67 | 1
URDENOR|S420 | 1
JUAN MONTALVO|T07 | 1
NOT_FOUND|T782 | 2
MUCHO LOTE I|J96 | 1
FEBRES CORDERO|W84 | 1
JUAN MONTALVO|S400 | 1
NOT_FOUND|R103 | 1
NOT_FOUND|R102 | 1
NOT_FOUND|R101 | 13
NOT_FOUND|R100 | 1
CARBO|A09 | 1
NOT_FOUND|R104 | 1
SAUCES|J180 | 13
NOT_FOUND|J45 | 68
ATARAZANA|A09 | 8
NOT_FOUND|J46 | 10
NOT_FOUND|S298 | 1
NOT_FOUND|S299 | 2
XIMENA|S500 | 1
CONDOR|S00 | 1
GARCIA MORENO|S411 | 1
GARCIA MORENO|J18 | 2
CARBO|N390 | 2
GARCIA MORENO|J11 | 1
KENNEDY|H60 | 1
SUCRE|S01 | 1
BOLIVARIANA|J03 | 3
BOLIVARIANA|J02 | 1
VERGELES|S810 | 1
FEBRES CORDERO|R50 | 7
FEBRES CORDERO|R51 | 10
FEBRES CORDERO|R53 | 2
FEBRES CORDERO|R55 | 1
DAULE|J20 | 29
DAULE|J21 | 3
FEBRES CORDERO|X411 | 1
URDESA|A09 | 8
NOT_FOUND|R074 | 7
NOT_FOUND|R072 | 1
DAULE|L01 | 1
LETAMENDI|A37 | 1
OLMEDO|L50 | 1
AYACUCHO|S00 | 2
AYACUCHO|S01 | 2
AYACUCHO|S06 | 1
URDANETA|L020 | 2
URDANETA|L023 | 1
AYACUCHO|A059 | 3
SERGIO TORAL|A09 | 3
XIMENA|J069 | 1
XIMENA|J359 | 1
OTROS|J020 | 1
XIMENA|J350 | 2
LETAMENDI|K529 | 3
XIMENA|J352 | 1
NOT_FOUND|N64 | 1
GARCIA MORENO|J459 | 1
FLOR DE BASTION|J039 | 2
NOT_FOUND|S670 | 1
FLOR DE BASTION|J030 | 1
NOT_FOUND|S10 | 1
BOLIVAR SAGRARIO|J96 | 1
ALBORADA|S80 | 1
URDANETA|R101 | 1
PROSPERINA|E86 | 15
ADACE|J02 | 1
BRISAS DEL NORTE|K29 | 1
XIMENA|S30 | 4
PLAYAS|A09 | 1
XIMENA|N201 | 1
FORTIN|A689 | 1
ALBORADA|R50 | 1
XIMENA|B002 | 10
AYACUCHO|J03 | 11
AYACUCHO|J02 | 5
AYACUCHO|J00 | 5
XIMENA|S211 | 1
OLMEDO|R060 | 1
NOT_FOUND|S701 | 1
XIMENA|S525 | 1
XIMENA|S527 | 1
XIMENA|S526 | 1
XIMENA|S520 | 2
SERGIO TORAL|H10 | 1
TARQUI|J969 | 1
XIMENA|S528 | 1
LETAMENDI|Z916 | 1
JARDINES DEL SALADO|R51 | 1
OLMEDO|M542 | 1
XIMENA|N512 | 6
DAULE|R101 | 2
MAPASINGUE|H920 | 1
NOT_FOUND|S620 | 1
FEBRES CORDERO|J219 | 3
SAUCES|L02  | 1
NOT_FOUND|A38 | 1
FORTIN|A09 | 6
AYACUCHO|S019 | 1
BELLAVISTA|L50 | 1
XIMENA|X49 | 1
TARQUI|J18 | 1
DAULE|E86 | 23
NOT_FOUND|L539 | 2
LETAMENDI|S099 | 1
BASTION POPULAR|S411 | 1
NUEVA PROSPERINA|J02Ç | 1
FEBRES CORDERO|L509 | 1
FEBRES CORDERO|L501 | 1
FEBRES CORDERO|L500 | 5
GARCIA MORENO|S01 | 4
GARCIA MORENO|S00 | 7
DAULE|B002 | 1
FEBRES CORDERO|K12 | 5
LETAMENDI|H010 | 1
LETAMENDI|L024 | 2
DAULE|R31 | 1
FLORIDA|J03 | 8
FLORIDA|J00 | 3
MUCHO LOTE I|J45 | 1
XIMENA|B01 | 5
XIMENA|B02 | 2
FORTIN|J98 | 1
INMACONSA|S93 | 1
FLORIDA|T00 | 1
BASTION POPULAR|J05 | 1
BASTION POPULAR|J02 | 1
BASTION POPULAR|J03 | 10
FEBRES CORDERO|T189 | 1
9 DE OCTUBRE|N390 | 2
LETAMENDI|S90 | 1
SAMANES|E86 | 1
FLORIDA|I10 | 1
CARBO|J20 | 5
ATARAZANA|J20 | 12
ATARAZANA|J21 | 2
FERROVIARIA|N390 | 3
XIMENA|T242 | 2
URDANETA|W014 | 1
URDESA|J00 | 2
NOT_FOUND|H60 | 13
URDESA|J02 | 3
NOT_FOUND|H62 | 2
NOT_FOUND|H65 | 7
MAPASINGUE|H650 | 1
XIMENA|W57 | 2
OTROS|J029 | 1
URDESA|J969 | 1
VERGELES|L309 | 1
FEBRES CORDERO|J20  | 1
SAUCES|K590 | 1
KENNEDY|H920 | 1
MONTEBELLO|J21 | 1
MAPASINGUE|J209 | 2
MONTEBELLO|J20 | 1
NOT_FOUND|K29 | 19
LETAMENDI|B082 | 1
NOT_FOUND|G403 | 1
NOT_FOUND|K21 | 1
NOT_FOUND|N482 | 1
CHONGON|L50 | 2
CONDOR|L020 | 1
FEBRES CORDERO|J060 | 1
SAUCES|R11 | 7
SAUCES|R10 | 9
GUAYACANES|R509 | 1
CHONGON|H650 | 1
SUCRE|B01 | 1
MUCHO LOTE I|H60 | 2
ALBORADA|B829 | 1
ROCAFUERTE|J20 | 5
FEBRES CORDERO|T09 | 1
FEBRES CORDERO|T07 | 1
XIMENA|H920 | 21
FEBRES CORDERO|T00 | 3
MAPASINGUE|L02 | 1
FEBRES CORDERO|K420 | 1
NOT_FOUND|K296 | 1
NOT_FOUND|K297 | 13
MUCHO LOTE II|J20 | 2
FORTIN|R101 | 1
NOT_FOUND|N390 | 97
NOT_FOUND|K055 | 1
GARCIA MORENO|S611 | 1
LIMONAL|A09 | 5
GARCIA MORENO|J00 | 8
GARCIA MORENO|J02 | 8
GARCIA MORENO|J03 | 23
FORTIN|S00 | 1
JUAN MONTALVO|S500 | 1
SUCRE|K12 | 1
CHONGON|R10 | 1
CHONGON|R11 | 2
FEBRES CORDERO|X409 | 1
NOT_FOUND|R002 | 2
NOT_FOUND|R000 | 1
FLORIDA|Z000 | 1
NUEVA PROSPERINA|K12 | 1
MAPASINGUE|K12 | 1
AYACUCHO|R42 | 1
NOT_FOUND|R509 | 47
KENNEDY|E86 | 2
FERROVIARIA|J020 | 1
FLORIDA|R11 | 6
FLORIDA|R10 | 8
LUIS VERNAZA|R11 | 1
LUIS VERNAZA|R10 | 1
FEBRES CORDERO|S30 | 1
FEBRES CORDERO|S37 | 1
ALBORADA|J18 | 1
SUCRE|J21 | 1
SUCRE|J20 | 10
SAMANES|A09 | 2
PUERTO SANTA ANA|N390 | 1
XIMENA|J340 | 1
XIMENA|J188 | 1
XIMENA|J189 | 2
XIMENA|J180 | 187
NOT_FOUND|F110 | 1
NOT_FOUND|S09 | 1
XIMENA|E86 | 549
NOT_FOUND|S00 | 24
NOT_FOUND|S01 | 41
NOT_FOUND|S05 | 2
NOT_FOUND|S06 | 4
NOT_FOUND|M436 | 1
SAUCES|A09 | 53
SAUCES|A08 | 1
BASTION POPULAR|R11 | 4
BASTION POPULAR|R10 | 2
FLORIDA|S60 | 1
XIMENA|S20 | 3
LOS CEIBOS|J18 | 1
FEBRES CORDERO|T131 | 1
XIMENA|N211 | 1
JUAN MONTALVO|J45 | 2
SERGIO TORAL|J20 | 5
JUAN MONTALVO|J46 | 1
XIMENA|W019 | 1
AYACUCHO|S800 | 1
OLMEDO|J96 | 1
XIMENA|S202 | 1
LAS PEÑAS|K590 | 1
MUCHO LOTE II|H650 | 1
MONTE SINAI|R509 | 1
MUCHO LOTE II|N23 | 1
NOT_FOUND|M544 | 1
NOT_FOUND|M545 | 2
MONTE SINAI|R501 | 1
XIMENA|R19 | 1
LETAMENDI|S710 | 1
XIMENA|R11 | 144
XIMENA|R10 | 200
ROSALES|B01 | 1
ATARAZANA|J98 | 1
SAUCES|E86 | 37
URDANETA|J20 | 42
URDANETA|J21 | 6
NOT_FOUND|S934 | 5
FLORIDA|S521 | 1
XIMENA|S899 | 3
ROCAFUERTE|R10 | 2
LETAMENDI|L238 | 1
LETAMENDI|L239 | 1
CHONGON|N200 | 1
NUEVA PROSPERINA|J039 | 1
ALBORADA|J039 | 1
FLOR DE BASTION|T784 | 2
NOT_FOUND|T543 | 1
CHONGON|J030 | 1
FEBRES CORDERO|L040 | 1
SAN EDUARDO|R10 | 1
SAN EDUARDO|R11 | 1
FEBRES CORDERO|K29 | 4
XIMENA|N433 | 1
LUIS VERNAZA|J03 | 1
DAULE|R590 | 1
LETAMENDI|H92 | 1
ALAMOS|R10 | 1
XIMENA|H105 | 1
CHONGON|J03 | 5
VERGELES|K529 | 1
CHONGON|J00 | 2
SAUCES|I10 | 5
MUCHO LOTE I|A09 | 16
PROSPERINA|J030 | 1
ORQUIDEAS|J45 | 1
MONTE SINAI|J180 | 2
XIMENA|A090 | 1
MUCHO LOTE I|E86 | 8
FEBRES CORDERO|J18 | 21
URDANETA|L02 | 1
URDANETA|L01 | 2
BOLIVARIANA|N390 | 1
ATARAZANA|J18 | 1
XIMENA|T252 | 1
ATARAZANA|N390 | 2
BELLAVISTA|H65 | 1
XIMENA|T784 | 18
BASTION POPULAR|A689 | 1
