SECTOR|CIE10|NUMERODECASOS
OLMEDO|J20 | 4
OLMEDO|J21 | 1
SAMBORONDON|J21 | 1
SAMBORONDON|J20 | 4
LETAMENDI|J451 | 1
LAS PEÑAS|J03 | 2
LAS PEÑAS|J02 | 2
LETAMENDI|J458 | 1
XIMENA|J040 | 3
XIMENA|J042 | 28
FEBRES CORDERO|K810 | 1
IETEL|A09 | 3
PASCUALES|E86 | 4
AYACUCHO|J96 | 1
JUAN MONTALVO|A09 | 12
FLORIDA|J02 | 2
XIMENA|S298 | 1
MAPASINGUE|K590 | 2
URDESA|J03 | 3
BOLIVAR SAGRARIO|J21 | 1
BOLIVAR SAGRARIO|J20 | 8
ADACE|N21 | 1
JUAN MONTALVO|E86 | 9
PLAYAS|J042 | 1
GUAYACANES|J00 | 2
OTRO|J20 | 1
ALBORADA|S60 | 1
BASTION POPULAR|R501 | 3
LAS PEÑAS|K30 | 1
LETAMENDI|J030 | 4
XIMENA|K59 | 1
XIMENA|F410 | 3
DURAN|S534 | 1
XIMENA|K52 | 6
NOT_FOUND|R568 | 2
LETAMENDI|J039 | 3
PROSPERINA|R10 | 3
PROSPERINA|R11 | 3
AYACUCHO|T600 | 1
NOT_FOUND|S903 | 1
URDANETA|J96 | 1
XIMENA|S909 | 2
XIMENA|S908 | 2
NOT_FOUND|S908 | 1
NOT_FOUND|L010 | 2
XIMENA|S903 | 3
XIMENA|S901 | 2
XIMENA|S900 | 4
BASTION POPULAR|S909 | 1
SAUCES|J80 | 1
XIMENA|R509 | 67
BOLIVARIANA|N23 | 1
XIMENA|R500 | 11
XIMENA|R501 | 39
XIMENA|B088 | 1
FLORIDA|S420 | 1
NOT_FOUND|S837 | 2
NOT_FOUND|T290 | 1
XIMENA|B082 | 8
XIMENA|B084 | 3
URDANETA|J304 | 1
LUIS VERNAZA|S934 | 1
AYACUCHO|N23 | 3
LETAMENDI|J02 | 20
LETAMENDI|J03 | 57
LETAMENDI|J00 | 21
LETAMENDI|J01 | 2
XIMENA|S630 | 1
BASTION POPULAR|S019 | 1
OLMEDO|M701 | 1
FLOR DE BASTION|N39 | 1
BELLAVISTA|S60 | 1
BASTION POPULAR|J00 | 1
URDANETA|S917 | 1
NOT_FOUND|T242 | 1
NUEVA PROSPERINA|J042 | 1
AYACUCHO|S529 | 1
XIMENA|L023 | 1
KENNEDY|N390 | 1
XIMENA|L022 | 1
AYACUCHO|T22 | 1
URDANETA|N30 | 1
NOT_FOUND|N512 | 2
URDANETA|S599 | 1
MUCHO LOTE I|J180 | 3
SAMANES|J98 | 1
FLORIDA|N23 | 1
FERROVIARIA|R509 | 1
LETAMENDI|K30 | 1
TARQUI|J96 | 1
MUCHO LOTE II|R10 | 2
OLMEDO|G243 | 1
GARCIA MORENO|S800 | 1
PROSPERINA|L02 | 1
LETAMENDI|S019 | 1
FERROVIARIA|J042 | 1
LETAMENDI|S011 | 1
LETAMENDI|S010 | 2
LETAMENDI|S015 | 2
LETAMENDI|S014 | 1
FLOR DE BASTION|J180 | 4
XIMENA|W54 | 2
VERGELES|I84 | 1
TARQUI|R501 | 1
OTROS|S934 | 1
ATARAZANA|K30 | 1
TARQUI|R509 | 1
FORTIN|S01 | 2
SAUCES|N341 | 1
XIMENA|T172 | 1
XIMENA|T171 | 1
LETAMENDI|A059 | 3
LETAMENDI|A058 | 1
ROCAFUERTE|W54 | 1
INMACONSA|J00 | 1
FLORIDA|L509 | 1
FLORIDA|L500 | 2
KENNEDY|N30 | 1
XIMENA|B82 | 1
URDESA|H650 | 1
MAPASINGUE|S50 | 1
NUEVA PROSPERINA|J02 | 2
NUEVA PROSPERINA|J03 | 6
NUEVA PROSPERINA|J00 | 2
SAN FELIPE|J20 | 3
DURAN|R10 | 2
DURAN|R11 | 4
URDENOR|L50 | 1
CHONGON|R509 | 1
NOT_FOUND|J30 | 1
FORTIN|H920 | 1
XIMENA|T009 | 1
GUAYACANES|R101 | 1
URDENOR|J03 | 1
9 DE OCTUBRE|A09 | 1
XIMENA|G448 | 1
XIMENA|G440 | 1
XIMENA|G441 | 1
BASTION POPULAR|M546 | 1
FERROVIARIA|J45 | 1
CIUDAD DEL RIO|J22 | 1
SAUCES|L509 | 1
SAMBORONDON|A689 | 2
SAUCES|J020 | 1
NOT_FOUND|S599 | 2
XIMENA|F32 | 1
DURAN|J039 | 1
LETAMENDI|T07 | 1
OTROS|S01 | 1
OTROS|S00 | 1
GUAYACANES|R10 | 3
SUCRE|J45 | 1
XIMENA|J459 | 24
OLMEDO|N390 | 1
XIMENA|J451 | 3
URDANETA|E86 | 35
FEBRES CORDERO|J00 | 38
DAULE|N39 | 2
FEBRES CORDERO|S90 | 6
MAPASINGUE|J18 | 1
NOT_FOUND|J180 | 134
FLOR DE BASTION|L500 | 1
NOT_FOUND|J189 | 3
PUERTO SANTA ANA|J180 | 3
PROSPERINA|L500 | 1
LETAMENDI|S498 | 1
FEBRES CORDERO|A09+ | 1
LOS CEIBOS|A09 | 6
VERGELES|E86 | 4
ATARAZANA|L020 | 1
FEBRES CORDERO|S003 | 3
FEBRES CORDERO|A093 | 1
XIMENA|J98 | 28
DAULE|L50 | 3
PROSPERINA|K529 | 1
FEBRES CORDERO|S009 | 2
OLMEDO|J969 | 1
XIMENA|J96 | 37
MONTE SINAI|E86 | 7
MONTE SINAI|B002 | 2
XIMENA|J050 | 4
XIMENA|J051 | 1
BOLIVAR SAGRARIO|00000} | 1
PROSPERINA|R102 | 1
BOLIVARIANA|E86 | 2
OTRO|R11 | 1
OTRO|R10 | 2
FEBRES CORDERO|J209 | 7
GARCIA MORENO|K625 | 1
NOT_FOUND|A09  | 1
FERROVIARIA|L032 | 1
BOLIVAR SAGRARIO|J18 | 1
LOS CEIBOS|E86 | 1
NOT_FOUND|R17 | 1
FEBRES CORDERO|H01 | 1
METROPOLIS|E86 | 2
SUCRE|L038 | 1
LETAMENDI|J029 | 2
PLAYAS|J21 | 1
MAPASINGUE|E86 | 14
JARDINES DEL SALADO|S800 | 1
XIMENA|S910 | 2
XIMENA|S911 | 3
XIMENA|S913 | 3
PASCUALES|J05 | 1
PASCUALES|J02 | 1
PASCUALES|J03 | 2
LA FLORIDA|B002 | 1
SAN EDUARDO|J98 | 1
AYACUCHO|R739 | 1
SANTA CECILIA|R10 | 1
LETAMENDI|G510 | 1
