0,sectores,
1,Ayacucho,
2,Barrio Ciudad Nueva,
3,Barrio del Astillero,
4,Barrio Garay (Calle 9 de Octubre lado oeste),
5,Barrio Jockey,
6,Barrio la Concordia,
7,Barrio La Sabana,
8,Barrio Las 5 Esquinas,
9,Barrio Las Peñas,
10,Barrio Orellana,
11,Barrio Q. Josefa,
12,Barrio Q. Pareja,
13,Barrio Q. Piedad,
14,Bolívar,
15,Cdla. Bolivariana,
16,Ciudad Nueva,
17,Coop. Progresista,
18,Coop. Rumiñahui,
19,Coop. Samuel Gómez,
20,Cristo del Consuelo,
21,El Conchero,
22,Febres Cordero,
23,García Moreno,
24,Letamendi,
25,Olmedo,
26,Puerto Lisa,
27,Rocafuerte,
28,Sucre,
29,Tarqui,
30,Urdaneta,
31,Ximena,
32,Viviendas del Cerro del Carmen,
33,Viviendas del Cerro Santa Ana,
1,Barrio Centenario
2,Barrio Cuba
3,Barrio de las Americas - del Seguro
4,Bloque Primavera
5,Cdal. La Saiba
6,Cdal. Los Olivos
7,Cdla Caraguay
8,Cdla del Maestro
9,Cdla Jambeli
10,Cdla Los Cipreses
11,Cdla. 9 de Octubre
12,Cdla. Amazonas I
13,Cdla. Amazonas II
14,Cdla. Coviem
15,Cdla. del Periodista
16,Cdla. Floresta I-Coop Los Laureles
17,Cdla. Floresta II-Coop. Divino niño
18,Cdla. Floresta II-Coop. Los Vergeles
19,Cdla. Floresta II-Coop. Nueva idela
20,Cdla. Floresta II-Coop. Piso y Techo
21,Cdla. Floresta III-Guasmo Central
22,Cdla. Fragata
23,Cdla. Guangala
24,Cdla. Guayasur
25,Cdla. Huancavilca
26,Cdla. Jambelí
27,Cdla. La Chala
28,Cdla. La Ronda
29,Cdla. Las Acacias
30,Cdla. Las Tejas
31,Cdla. Las Terrazas
32,Cdla. Los Almendros
33,Cdla. Los delfines
34,Cdla. Los Esteros I
35,Cdla. Los Esteros II
36,Cdla. Los Tulipanes
37,Cdla. Luis Morejón
38,Cdla. Morán Valverde
39,Cdla. Naval Sur 25 de Julio
40,Cdla. Pradera I
41,Cdla. Pradera II
42,Cdla. Pradera III
43,Cdla. Urbasur
44,Cdla. Valdivia
45,Cdla. Villamil
46,Ciudadela del IESS
47,Condm. Los Jardines
48,Coop 17 de Septiembre
49,Coop 26 de Abril-Guasmo Sur
50,Coop 9 de Octubre-Guasmo Osete
51,Coop Américo Vespucio II-Isla Trinitaria
52,Coop Autoridad Portuaria
53,Coop Carlos Castro II-Guasmo Central
54,Coop centro Civico-Guasmo Norte
55,Coop El Paraíso-Isla Trinitaria
56,Coop Fertisa-Guasmo Sur
57,Coop Guayaquil Independiente
58,Coop Los Angeles II-Isla Trinitaria
59,Coop Proletarios con tierra-Guasmo Sur
60,Coop Rosa Aguilera-Guasmo Sur
61,Coop.  Estela Maris-Guasmo Sur
62,Coop. 1 de Agosto-Guasmo Central
63,Coop. 1 de Mayo Independiente-Guasmo Norte
64,Coop. 1 de Septiembre
65,Coop. 10 de Agosto-Guasmo Norte
66,Coop. 11 de Septiembre-Isla Trinitaria
67,Coop. 12 de Mayo II-Isla Trinitaria
68,Coop. 12 de Mayo-Isla Trinitaria
69,Coop. 12 de Septiembre-Guasmo Central
70,Coop. 13 de Febrero
71,Coop. 15 de Diciembre
72,Coop. 15 de Septiembre-Guasmo central
73,Coop. 16 de Mayo
74,Coop. 18 de Agosto-Guasmo Sur
75,Coop. 18 de Octubre-Guasmo Sur
76,Coop. 18 de Septiembre
77,Coop. 21 de Enero-Guasmo Norte
78,Coop. 22 de Abril-Isla Trinitaria
79,Coop. 24 de Mayo-Guasmo Norte
80,Coop. 24 de Mayo-Las Malvinas
81,Coop. 25 de Enero-Guasmo Norte
82,Coop. 25 de Julio-Isla Trinitaria
83,Coop. 27 de Junio
84,Coop. 28 de Agosto
85,Coop. 28 de Mayo
86,Coop. 29 de Abril
87,Coop. 3 de Mayo-Isla Trinitaria
88,Coop. 3 de Noviembre
89,Coop. 4 de Marzo
90,Coop. 4 de Septiembre-Isla Trinitaria
91,Coop. 5 de Agosto-Guasmo Norte
92,Coop. 5 de Octubre-Guasmo Sur
93,Coop. 6 de Noviembre-Isla Trinitaria
94,Coop. 7 de Octubre
95,Coop. 7 Lagos-Guasmo Central
96,Coop. 7 Laguitos-Guasmo Central
97,Coop. 7 Septiembre-Guasmo central
98,Coop. 8 de Agosto
99,Coop. 8 de Marzo
100,Coop. 8 de Septiembre
101,Coop. 9 de Abril
102,Coop. 9 de Agosto-Guasmo central
103,Coop. 9 de Julio-Fertisa
104,Coop. Abdalá Bucaram
105,Coop. Abdalá de los Pobres
106,Coop. Ahora le toca al Pueblo
107,Coop. Alameda-Malvinas
108,Coop. Amazonas-Gusmo Sur
109,Coop. Américo Vespucio I-Isla Trinitaria
110,Coop. Andres Quiñones I-Isla Trinitaria
111,Coop. Andres Quiñonez II-Isla Trinitaria
112,Coop. Ángel Duarte-Isla Trinitaria
113,Coop. Antartida-Isla Trinitaria
114,Coop. Antonio Neumane-Isla trinitaria
115,Coop. Assad Bucaram I - Acacias
116,Coop. Assad Bucaram II - Acacias
117,Coop. Atahualpa-Guasmo Norte
118,Coop. Bananeros Bloque A
119,Coop. Barrio Chino-Guasmo Sur
