dir@lat@lon
CALLEJON 16 Y LA E@0@0
CHEMBERS 419 Y LIZARDO GARCIA@0@0
CALLE 21AVA Y VACAS GALINDO   @-2.20548@-79.92109
BOLIVIA Y STA ELENA @0@0
23 Y EL ORO SUR OESTE@0@0
22 Y ORIENTE@0@0
32 Y CAPITAN NAJERA@0@0
LUQUE Y PEDRO CARBO 00@-2.19143@-79.88894
LA 23 AVA Y MARACAIBO@-2.20689@-79.92263
29 Y GOMEZ RENDON@-2.19439@-79.92442
OCONNOR 1708 Y ESMERALDAS@0@0
BOLIVIA 2127 Y TUNGURAHUA@-2.20901@-79.903
CHIMBORAZO 3108 Y BOLIVIA @-2.2132@-79.88842
BABAHOYO Y ORIENTE 0 00@-2.21755@-79.90687
ORIENTE 306 Y DOMINGO COMIN@0@0
AV 38 ENTRE CALLEJON PARRA Y 0@0@0
13 Y CRISTOBAL COLON@-2.19144@-79.90895
CALLEJON 28 AVA ENTRE P Y Q @0@0
22 Y ORIENTE@0@0
LA 15 Y LA B@-2.22021@-79.92131
27 Y LA G@-2.22268@-79.93129
LA 20 Y ALCEDO NULL@-2.19111@-79.91519
15 Y CRISTOBAL COLON@-2.19097@-79.91096
CALLE GALAPAGOS ENTRE LA 28 Y 29@-2.20095@-79.92614
B E/ LA 45 Y LA 46 -@0@0
FCO SEGURA Y JOSE DE ANTEPARA@-2.21824@-79.89982
CAPITAN NAJERA 1506 ENTRE QUITO Y PEDRO MONCAYO@0@0
ALCEDO Y LA 21@-2.19119@-79.9162
23 Y LA Ñ@-2.10991@-79.93982
BOLIVIA 2127 Y TUNGURAHUA@-2.20901@-79.903
GUARANDA 1901 Y COLOMBIA@-2.20962@-79.89327
LA 9 Y LA E@-2.22192@-79.91316
25 Y SEDALANA@0@0
N SEGOVIA Y ORIENTE@0@0
LUQUE Y PEDRO CARBO 00@-2.19143@-79.88894
LA 12AVA Y BOLIVIA 0 NN@0@0
CALLEJON 20 AVA Y EL ORO      @-2.20683@-79.91932
39 AVA Y ORIENTE@0@0
LA 8AVA Y CRISTOBAL COLON@-2.19125@-79.90981
JOSE MASCOTE Y CLEMENTE BALLEN@-2.19205@-79.8938
NICOLAS SEGOVIA Y SEDALANA@0@0
CALLE 19 AVA 1610 Y CALLJ COLO@0@0
LOS RIOS Y G RENDON@-2.19909@-79.89745
PRIMER CALLEJON F Y LA 40@-2.21452@-79.93866
LA 22 ENTRE LA 23 Y SEDALANA@0@0
LA 23AVA Y FRANCISCO DE MARCOS@-2.19769@-79.91981
AV.DOMINGO COMIN Y CALLE F N N@0@0
ARGENTINA Y LA 33AVA NN@-2.19751@-79.92867
8VA ENTRE LA G Y LA H@-2.21842@-79.9372
JULIAN CORONEL Y BAQUERIZO MORENO@-2.18363@-79.88
TUNGUARAHUA   4522 Y CALLEJON PARRA@0@0
1ER CJON 21 E/ M Y CJON N 0@0@0
NICOLAS SEGOVIA ENTRE G Y H TE@0@0
CALLE 46 ENTRE ORIENTE Y SEDAL@0@0
27 Y LA B @-2.21672@-79.92872
42 Y CAMILO DESTRUGE@0@0
28 Y LA F 00 00@-2.21688@-79.93566
CHAVEZ FRANCO E CARCHI Y TUNGU@0@0
CALLEH E  43 Y 44 0982913254@-2.21263@-79.94333
CALLE 29 Y AUGUSTO GONZALEZ@0@0
NICOLAS AUGUSTO GONZALEZ Y CAR@-2.17495@-79.89751
VCTE. TRUJILLO Y ESMERALDAS@0@0
0 0 SEDALA E/ 18 Y 19@-2.19653@-79.9161
LA D 1014 Y LA HABANA @0@0
ABEL CASTILLO 1620 Y EL ORO@-2.20907@-79.90488
LA 26 Y VACA GALINDOS @0@0
MZ 83CLLJ 45 Y AGUSTO GONZALEZ@0@0
NICOLAS SEGOVIA ENTRE G Y H TE@0@0
LA 12AVA Y BOLIVIA 0 NN@0@0
PICHINCHA 334 Y ELIZALDE@-2.19285@-79.88058
CALLA 10 Y F@0@0
LA OCTAVA ENTRE LA A Y LA B@-2.21959@-79.91091
CALLEJOMN 25 ENTRE LA Q Y R@0@0
BABAHOYO Y ORIENTE;080430991;;@-2.21755@-79.90687
JOSE MASCOTE Y SEDALANA@0@0
ARGENTINA Y LA 24 AVA@-2.19729@-79.92948
9NA Y C NAJERA                @-2.22076@-79.91295
GUERRERO MARTINEZ 308 Y DOMING@-2.21167@-79.90873
29 Y CAPITAN NAJERA 0@0@0
CALLE 12 Y LA C 00@-2.2199@-79.9141
ARGENTIONA Y LA 39AVA@0@0
LA 8AVA Y CRISTOBAL COLON@-2.19125@-79.90981
28 Y LA E POR LA 29 NN@-2.21609@-79.93487
MARACAIBO EN LA 34 Y 33AVA    @-2.20637@-79.93103
15 Y CALLEJON K@0@0
CALLEJON P. M. GILBERT E/ 48 Y 49@0@0
LA 21 ENTRE PANCHO SEGURA Y SEDALANA@0@0
ALCEDO 102 Y NOGUCHI@0@0
CHAVEZ FRANCO Y LOS RIOS@-2.21266@-79.90161
CDLA FREFRESCORDERO ENTRE LA 29 Y LA O@-2.22357@-79.94186
CALLE 12 ENTRE D SABIO Y C COL@-2.2199@-79.9141
STA ELENA Y GRAL GOMEZ@-2.20298@-79.91011
19 Y TERCER CALLEJON P@-2.12786@-79.90806
CALLE 43 Y LA N@0@0
ORIENTE Y LA 8VA@0@0
29 Y CALLEJON PARRA@0@0
NICOLAS SEGOVIA Y LA D@-2.22188@-79.91048
ARGENTINA 5602 Y LA 33@-2.19751@-79.92867
CALLE C 1421 Y LA 45.@-2.21012@-79.94328
26 Y LA CH X LA 29@0@0
CALLEJON 12 Y ORIENTE@-2.21673@-79.914
24 Y LA S@0@0
LA 25 ENTRE CALLEJON PARRA Y LA A@0@0
25 Y LA N S/N.@0@0
32 Y CAPITAN NAJERA@0@0
ISMAELPEREZ PAZMIÑO Y CAPITAN@0@0
24AVA Y FCO SEGURA 0 00@0@0
BOLIVIA Y G LARA 5042847 09849@0@0
LA G Y NICOLAS SEGOVIA@0@0
24 Y MEDARDO ANGEL SILVA@-2.1921@-79.9194
LA J Y LA 28 00 00@-2.21976@-79.93854
29 Y CALLEJON PARRA@0@0
LA 15 Y CJON PARRA 00@0@0
GUERRERO VALENZUELA 2619 Y FRA@-2.20073@-79.90799
LA 12AVA Y BOLIVIA 00 LA 12AVA@-2.21844@-79.91419
25 Y LA N S/N.@0@0
TUNGUARAHUA   4522 Y CALLEJON PARRA@0@0
14 Y CALLEJON D@0@0
BACAS GALINDO 606 Y CHIMBORAZO@-2.21392@-79.88861
LA 12AVA Y BOLIVIA 00 LA 12AVA@-2.21844@-79.91419
44 Y CLLJON PARRA             @0@0
TUNGURAHUA Y CHAMBERS@-2.21422@-79.90467
LA 40 ENTRE LA D Y E N@-2.2139@-79.9384
23 AVA Y CRISTOBAL COLON@0@0
LA 26 Y VACA GALINDOS @0@0
14 Y 4 DE NOVIEMBRE @0@0
2DO CJON SEDALANA Y L PLAZA 00@0@0
C COLON Y LA OCTAVA@0@0
MANABI 1828 Y AVENIDA DEL EJERCITO@-2.19714@-79.89465
LIZARDO GARCIA Y FCO SEGURA @-2.21569@-79.9059
MZ 83CLLJ 45 Y AGUSTO GONZALEZ@0@0
GRAL GOMEZ 1129 Y GUARANDA@-2.2077@-79.89266
ARGENTIMN 4006 ENTRE LA 17 Y 18@-2.19599@-79.91504
MARACAIBO EN LA 34 Y 33AVA    @-2.20637@-79.93103
SEDALANA 1810 E/ LOS RIOS Y TU@0@0
AGUSTO GONS ENTRE LA 34 Y 36 0@-2.20557@-79.93334
9NA Y 4 DE NOVIEMBRE - 00@0@0
12 Y 1ER CALLEJON FRCO SEGURA@-2.73765@-79.91149
LA 22 ENTRE LA 23 Y SEDALANA@0@0
CUENCA 3322 Y GUERRERO MARTINEZ@-2.19796@-79.90531
TUNGURAGUA 4420 Y FRANCISCO SEGURA@0@0
LA 23 Y VACAS GALINDO 00@-2.20522@-79.92216
FCO DE MARCOS Y LA 32 AVA 2618@-2.19584@-79.9271
CALLE 41 ENTRE MARACAIBO Y AUG@0@0
BACAS GALINDO 606 Y CHIMBORAZO@-2.21392@-79.88861
AV ERNESTO ALBAN Y SEGUNDO PASAJE@0@0
17AVA E/ Q Y 2DO CALLEJON P -@-2.15646@-79.93393
ESMERALDAS MZ 315 S 17 Y LA A@0@0
COOP JUSTICIA Y LIBERTA MZ 6 VILLA 28@0@0
9NA Y C NAJERA                @-2.22076@-79.91295
SEDALANA 1810 E/ LOS RIOS Y TU@0@0
CALLE C 335 ENTRE LA 28 Y LA 27@-2.21852@-79.92946
GARCIAS MORENO Y BOLIVIA 00 00@0@0
CALLE 41 ENTRE MARACAIBO Y AUG@0@0
42 Y GOLLENATELEF: 0980071041@0@0
CDLA FREFRESCORDERO ENTRE LA 29 Y LA O@-2.22357@-79.94186
LA 12 Y ORIENTE @-2.21673@-79.914
24 AVA 1103 Y ARGENTINA@-2.19652@-79.93229
CALLE 21 Y BOLIVIA@-2.20469@-79.92087
CHIMBORAZO 3108 Y BOLIVIA @-2.2132@-79.88842
26 Y LA M@0@0
LA 18 Y LA J SUR OESTE@-2.22759@-79.92847
TULCAN 5212 Y ORIENTE@-2.21854@-79.90431
BABAHOYO Y ORIENTE;080430991;;@-2.21755@-79.90687
11 Y EL ORO@-2.17662@-79.89718
STA ELENA Y GRAL GOMEZ@-2.20298@-79.91011
ASUNCION 202 Y LA HABANA@-2.21757@-79.89405
ARGENTIMN 4006 ENTRE LA 17 Y 18@-2.19599@-79.91504
CALLE 41 ENTRE MARACAIBO Y AUG@0@0
36 Y BOLIVIA@-2.20184@-79.9323
GUERRO MARTINEZ ENTRE LA F Y G@0@0
LA 26 Y LA E 00@-2.22006@-79.92938
TUNGURAHUA Y C 0@-2.22066@-79.90623
F CORDERO Y AV DEL EJERCITO -@0@0
CALLE 12 Y LA D@-2.17102@-79.88746
CORONEL E/ G. COYENA Y BOLIVIA@0@0
CHAMBERS Y WASHINGTON 00@-2.21799@-79.89614
CALLE 18 Y SEDALANA@0@0
LA D Y NICOLAS SEGOVIA@-2.22188@-79.91048
CALLE 11 2312 Y BOLIVIA@-2.20549@-79.91154
37 Y LA H 00@0@0
CALLEJON P. M. GILBERT E/ 48 Y 49@0@0
LA 25 ENTRE CALLEJON PARRA Y LA A@0@0
O CONNOR Y TUNGURAHUA 0 0@0@0
17 ENTRE L Y LL@-2.13203@-79.94342
12 #2717 Y FCO SEGURA TEL. 307@-2.21355@-79.91326
34 Y VACAS GALINDO            @-2.20305@-79.93099
GUERRERO MARTINEZ 1322 E/GOMEZ RENDON Y BRASIL@-2.1985@-79.90549
LA 12AVA Y BOLIVIA 00 LA 12AVA@-2.21844@-79.91419
12 AVA Y CLLJN. COLOMBIA@0@0
CALLEJOMN 25 ENTRE LA Q Y R@0@0
000 0 MANABI Y AV EL EJERCITO@-2.19714@-79.89465
AZUAY Y CALLE 20AVA@0@0
WASHINGTON Y ALEJO LAZCANO@0@0
18 AVA Y LA F@-2.22273@-79.92593
CALLA 10 Y F@0@0
13 Y DOMINGO SAVIO@0@0
AGUSTO GONS ENTRE LA 34 Y 36 0@-2.20557@-79.93334
EL ORO 109 Y GUERRERO VALENZUELA@-2.20872@-79.90574
23 Y BRASIL@0@0
LA 24AVA Y LA R @0@0
9 Y EL ORO@-2.70942@-80.24237
17 ENTRE L Y LL@-2.13203@-79.94342
26 Y LA M@0@0
ARGENTINA Y LA 33AVA NN@-2.19751@-79.92867
O CONNOR Y TUNGURAHUA 0 0@0@0
G MORENO Y A@0@0
CALLEJON 11 Y D. SAVIO CEL: 09@-2.17465@-79.88728
43 Y LA C.@-2.22076@-79.91295
42 Y LA H@-2.21477@-79.94122
COLON Y TULCAN -@-2.19378@-79.89661
ABEL CASTILLO Y CRISTOBAL COLO@0@0
15 Y CRISTOBAL COLON@-2.19097@-79.91096
ORIENTE Y LA 13 AVA@0@0
CUENCA 5517 ENTRE LA 28 Y LA 29@-2.20095@-79.92614
BOLIVIA / TULCAN Y CARCHI@-2.20919@-79.90238
CUENCA 3322 Y GUERRERO MARTINEZ@-2.19796@-79.90531
MANUEL GALECIO E/ J MASCOTE Y AV. DEL EJERCITO@0@0
BOLIVIA 3619 Y LA 20AVA@-2.20506@-79.91936
19 Y LA Q -@0@0
4 DE NOV E/ LA 16AVA Y 18AVA@0@0
CALLE 39 N 1717 Y CALLEJON PAR@0@0
CLLJN PARRA Y LA 41@0@0
BABAHOYO Y ORIENTE 0 00@-2.21755@-79.90687
43 Y LA C.@-2.22076@-79.91295
42 Y LA H@-2.21477@-79.94122
 44 Y L@-2.22073@-79.94142
ESMERALDAS 4923 Y CHAMBERS@-2.21159@-79.90062
TUNGUARAHUA   4522 Y CALLEJON PARRA@0@0
LIZARDO GARCIA Y LA C@0@0
8VA. 3015 Y CRISTOBAL COLON@-2.19125@-79.90981
JULIAN CORONEL Y BAQUERIZO MORENO@-2.18363@-79.88
LA 15 Y LA CH@-2.22133@-79.92188
32 Y CAPITAN NAJERA@0@0
ESMERALDAS 3626 Y GRAL GOMEZ@-2.20605@-79.89886
LA 12AVA Y BOLIVIA 0 NN@0@0
G MARTINEZ Y D SAVIO@0@0
SEDALANA 1402 Y JOSE DE ANTEPARA@0@0
39 ENTRE ARGENTINA Y SAN MATIN@0@0
CALLEJON 11 AVA Y DOMINGO SABIO@-2.21127@-79.91235
TUNGURAHUA 22034 Y 4 DE NOV @0@0
4 NOV. 4430 E/ 18 Y 19 AVACEL:@0@0
MZ 83CLLJ 45 Y AGUSTO GONZALEZ@0@0
23 Y BRASIL@0@0
MANABI 821 Y RUMICHACA 821@-2.19972@-79.88743
LA 23 Y VACAS GALINDO 00@-2.20522@-79.92216
9NA Y C NAJERA                @-2.22076@-79.91295
AV. DEL EJERCITO 4315 Y ROSEND@-2.21512@-79.90023
MARACIBO 5019 Y LA 29@0@0
TULCAN 5212 Y ORIENTE@-2.21854@-79.90431
TULCAN 4406 Y NICOLAS AGUSTO G@0@0
SEDALANA Y LOS RIOS 00@0@0
FCO DE MARCOS 1008 ENTRE AMBATO Y VILLAVICENCIO @0@0
CUENCA 3322 Y GUERRERO MARTINEZ@-2.19796@-79.90531
FCO SEGURA Y JOSE DE ANTEPARA@-2.21824@-79.89982
DOMINGO SABIO Y LA 18AVA@-2.1955@-79.92013
CALLE G Y GUERRERO VALENZUELA@-2.2242@-79.91197
18 Y LA P N@0@0
LA 12AVA Y BOLIVIA 0 NN@0@0
11 Y EL ORO@-2.17662@-79.89718
TUNGUARAHUA   4522 Y CALLEJON PARRA@0@0
10° Y LA 11@-2.193@-79.90835
LA 18 Y LA J SUR OESTE@-2.22759@-79.92847
24 Y MEDARDO ANGEL SILVA@-2.1921@-79.9194
28 Y LA J@-2.21976@-79.93854
ENTRE 15 Y 16 AVA@0@0
LA 37 AVA Y CALLE C@-2.21238@-79.93596
31 ENTRE CUENCA Y BRASIL24654@0@0
8VA. 3015 Y CRISTOBAL COLON@-2.19125@-79.90981
18 Y LA P N@0@0
G.RENDON 523 Y LA 36AVA@0@0
NICOLA SAUGUSTO GONZALEZ Y LA 36@0@0
VILLAVICENCIA 2004 Y VACA GALINDO@0@0
AV. DEL EJERCITO 4315 Y ROSEND@-2.21512@-79.90023
CALLE K Y LA 18@-2.2284@-79.92873
CALLE 27 Y FRANCISCO SEGURA@0@0
4 DE NOV E/ LA 16AVA Y 18AVA@0@0
 44 Y L@-2.22073@-79.94142
12 Y 1ER CALLEJON FRCO SEGURA@-2.73765@-79.91149
LA J Y LA 28 00 00@-2.21976@-79.93854
BABAHOYO Y ORIENTE 0 00@-2.21755@-79.90687
14 Y DOMINGO SABIO 0@0@0
AV VICENTE TRUJILLO Y TUNGURAHUA@0@0
CALLE 34 E/ EL ORO Y MARACAIBO@-2.20454@-79.93135
COLOMBIA 402 Y LA 15@-2.20362@-79.91468
23 AVA Y COLOMBIA@0@0
14 Y CALLEJON D@0@0
LA 25 Y LA L@0@0
EL ORO Y LA 20@-2.20683@-79.91932
11 Y FCO DE MARCOS@-2.20015@-79.91023
 44 Y L@-2.22073@-79.94142
QUITO Y MANUEL GALECIO 0@-2.18525@-79.88784
27 Y CAP. NAJERATEL. 466803@0@0
COOP GUAYAS Y QUIL MZ B7 12   @0@0
8VA Y BOLIVIA - -@-2.20149@-79.93375
CALLE 12 Y CAMILO DETRUGE@0@0
12 #2717 Y FCO SEGURA TEL. 307@-2.21355@-79.91326
LIZARDO GARCIA 3304 Y AZUAY 0@0@0
39 ENTRE ARGENTINA Y SAN MATIN@0@0
LA 40 AVA Y CHEMBER@0@0
CALLE D ENTRE LA 14 Y 15AVA@0@0
AGUSTO GONS ENTRE LA 34 Y 36 0@-2.20557@-79.93334
LA 22 Y LA N@0@0
LA 15 Y LA CH@-2.22133@-79.92188
LOS RIOS Y LETAMEDI@0@0
28 Y LA J@-2.21976@-79.93854
45 ENTRE ORIENTE Y SEDALANA TE@0@0
GUERRERO MARTINEZ Y A@-2.21919@-79.90772
MANUEL GALECIO E/ J MASCOTE Y AV. DEL EJERCITO@0@0
LA 11 Y FRANCISCO SEGURA@-2.08231@-79.91517
LA 13 Y BOLIVIA@0@0
23 Y EL ORO SUR OESTE@0@0
LA 43 Y LA N@0@0
21 AVA ENTRE ORIENTE Y SEDALANA@0@0
LA 26 Y LA E@-2.22006@-79.92938
17 Y FRANCISCO SEGURA - -@-2.19886@-79.91525
LA 40AVA Y CHEMBERTH@0@0
MARACAIBO Y LA 22@-2.20703@-79.92214
GENERAL GOMEZ 1516 Y ANTEPARA@0@0
CARCHI Y ORIENTE@-2.21825@-79.9053
LOS RIOS 3113 Y ARGENTINA@-2.20521@-79.89933
22 Y LA U 00 00@0@0
CALLE G Y G MARTINEZ CALLEJON @0@0
4 DE NOVIEMBRE Y LA 17@0@0
LIZARDO GARCIA Y AZUAY        @0@0
DOMINGO SAVIO # 815 Y ABEL CASTILLO@-2.21225@-79.90577
12 Y 1ER CALLEJON FRCO SEGURA@-2.73765@-79.91149
8VA. 3015 Y CRISTOBAL COLON@-2.19125@-79.90981
GUERRERO VALENZUELA Y EL ORO@-2.20872@-79.90574
4 DE NOVIEMBRE Y LA 11 --@0@0
MARACAIBO Y LA 22@-2.20703@-79.92214
24 Y CLLJN M@0@0
CALLE G Y G MARTINEZ CALLEJON @0@0
LA 16 Y 3ER CALLEJON DOMINGO SAVIO@-2.15484@-79.92741
LA 12 E/ CALLE B Y C (X LA 25)@-2.2199@-79.9141
39 Y BOLIVIA@-2.20131@-79.93442
-CAPITAN NAJERA Y LA 19 -@0@0
SEDALANA ENTRE 25 Y 26@0@0
22 Y N 0@0@0
TUNGURAHUA 4711 Y CALLEJON PAR@0@0
L GARCIA Y 4 DE NOV 3870058   @0@0
ARGENTINA 5602 Y LA 33@-2.19751@-79.92867
AV. QUITO 4515 Y CHAMBERS@0@0
26 Y LA M@0@0
BOLIVIA / TULCAN Y CARCHI@-2.20919@-79.90238
CALLEJON Ñ ENTRE CALLE 23 Y 24@-2.19882@-79.92089
VILLAVICENCIO Y CAÑAR 2442118@0@0
CAPITAN NAJERA Y PIO MONTUFAR@0@0
DOMINGO SABIO Y TUNGURAHUA@-2.21289@-79.90424
8AVA Y CALLEJON SEDALANA@0@0
JOSE VICENTE TRUJILLO Y CARCHI@0@0
LIZARDO GARCIA Y LA C@0@0
GUERRREO MARTINEZ Y 4 DE NOVIEMBRE@0@0
000 00 COLOMBIA Y LA 31@-2.20054@-79.92775
CALLE D Y LA HABANA@0@0
23 Y AUGUSTO GONZALEZ @0@0
MARACAIBO ENTRE LA 27 Y 28@0@0
ROBLES 720 Y LA E@0@0
23 Y FCO SEGURA@0@0
LA D Y NICOLAS SEGOVIA@-2.22188@-79.91048
BABAHOYO Y ORIENTE;080430991;;@-2.21755@-79.90687
C COLON Y CARCHI - -@0@0
27 Y CAP. NAJERATEL. 466803@0@0
8VA Y BOLIVIA - -@-2.20149@-79.93375
LA 23 Y VACAS GALINDO 00@-2.20522@-79.92216
36 Y GOMEZ RENDON@-2.19293@-79.93007
BOLIVIA Y LA 15 AVA   @0@0
CHIMBORAZO 4108 Y BOLIVIA@-2.2132@-79.88842
LA 25 Y CRISTOBAL COLON NO RECUERDA@0@0
LA 20 Y LA Ñ ENTRANDO POR Q @0@0
24 AVA 1103 Y ARGENTINA@-2.19652@-79.93229
27 Y 2DO CALLEJON P TEL. 20573@0@0
3ER CALLEJON P Y LA 23@-2.21225@-79.92389
CARCHI Y SEDALANA 00@0@0
LA 18 Y LA J SUR OESTE@-2.22759@-79.92847
TULCAN 5212 Y ORIENTE@-2.21854@-79.90431
20 AVA Y GOMEZ RENDON@0@0
4 NOV. 4430 E/ 18 Y 19 AVACEL:@0@0
TUNGURAHUA 404 Y CHAMBERS@-2.21422@-79.90467
LA 13 Y BOLIVIA@0@0
TUNGUARAHUA   4522 Y CALLEJON PARRA@0@0
ABEL CASTILLO Y CRISTOBAL COLO@0@0
9NA Y C NAJERA                @-2.22076@-79.91295
25 Y ARGENTINA 00 25 Y ARGENTI@-2.19928@-79.92186
26 Y LA CH X LA 29@0@0
19 AVA Y VACAS GALINDO@0@0
CHEMBERS Y LA 32@0@0
CALLEJON Ñ ENTRE CALLE 23 Y 24@-2.19882@-79.92089
14 Y CALLEJON D@0@0
25 Y LA G 25 Y LA G@0@0
22 Y LA T@0@0
MARACAIBO EN LA 34 Y 33AVA    @-2.20637@-79.93103
GUERRERO VALENZUELA Y LA F@0@0
ORIENTE Y LA 8VA@0@0
ARGENTINA 3614 Y LA 14@-2.2015@-79.91344
LA M Y LA 23AVA@0@0
SEDALANA 1409 Y LA 21@0@0
LA 15 Y CJON PARRA 00@0@0
I SEDALANA ENTRE 8VA Y 9NA@0@0
